from,to,cost
0,0,1.0
0,1,0.874723658573536
0,2,0.3612846282098772
0,3,0.150751115862349
0,4,0.44773753416261347
0,5,0.005108681130028004
0,6,0.01068477370891293
0,7,0.9366682108438592
0,8,0.6294460508233404
0,9,0.030953855287352762
0,10,0.08411689751131113
0,11,0.7839333057097398
0,12,0.3309976422216514
0,13,0.00017854416419694753
0,14,0.0870561223797121
0,15,0.6802770768089623
0,16,0.03260148562522809
0,17,0.03598251007845012
0,18,0.012823993205019413
0,19,0.015728816802114763
0,20,0.04106040097256939
0,21,0.04635880129107047
0,22,0.006506450814484971
0,23,0.044999442087245906
0,24,0.009513195234588927
0,25,0.010022188958888978
0,26,0.004339230911070892
0,27,0.017624348732846382
0,28,0.04588354032612566
0,29,0.04147248013318273
0,30,0.0385826746616532
0,31,0.03429270891208169
0,32,0.038357040674741306
0,33,0.017954119180004547
0,34,0.03091400127816089
0,35,0.04524744354866091
0,36,0.04810782890337179
0,37,0.02420570347876824
0,38,0.012631289377099125
0,39,0.02420570347876824
0,40,0.017732607801379644
0,41,0.010022188958888978
0,42,8.890790459550879e-05
0,43,0.015728816802114763
0,44,0.029649713924953
0,45,0.03260148562522809
0,46,0.038357040674741306
0,47,0.009508642206982366
0,48,0.008766604543729625
0,49,0.00034179185142541605
0,50,0.044603848224414294
0,51,0.06198597305206318
0,52,0.08053725883755566
0,53,0.025905661674120554
0,54,0.04099634775151524
0,55,0.015446694956110792
0,56,0.02979745760730501
0,57,0.04863508993899545
0,58,0.10052330878754748
0,59,0.08038021604751971
0,60,0.08053725883755566
0,61,0.09227135240417869
0,62,0.025026772805886707
0,63,0.019278365569592983
0,64,0.0834993084008877
0,65,0.10478651398778062
0,66,0.04077467902742378
0,67,0.023365737651196393
0,68,0.12590298087652654
0,69,0.02581060041970893
0,70,0.02979745760730501
0,71,0.018124292637773664
0,72,0.07295527339678667
0,73,0.012329107163262588
0,74,0.0026179766400012817
0,75,0.0011413431021345447
0,76,0.0009685163431349649
0,77,0.010078934276166313
0,78,0.0008076673247520565
0,79,0.0005348389620900823
0,80,0.0013187238943563188
0,81,0.007993507639007
0,82,0.0005937656698145065
0,83,0.0060638938043624056
0,84,0.009510633917173394
0,85,0.0090848285898029
0,86,0.005178982261686478
0,87,0.007671721167066532
0,88,0.0005389760453285
0,89,0.0058342785862332035
0,90,0.004308152399313111
0,91,0.0013365241960321406
0,92,0.008411229462626638
0,93,0.0011024419100657855
0,94,0.006614174851084313
0,95,0.009481412160747719
0,96,0.008863787056733161
0,97,0.0011413431021345447
0,98,0.0002648574044476636
0,99,0.007993507639007
0,100,0.007226279492795788
0,101,0.0013187238943563188
0,102,0.004262845648051932
0,103,0.00016273648175525485
0,104,0.003945080836463309
0,105,0.00016168438426290526
0,106,0.0008076673247520565
0,107,0.0067680850285259395
0,108,0.5608901322885123
0,109,0.6899634477684644
0,110,0.0036839891301860823
0,111,0.0002640662208791347
0,112,0.20452601018760724
0,113,0.0003076926825989722
0,114,0.32572485193348727
0,115,0.8756092297080661
0,116,0.1010639188922501
0,117,0.054040195467231274
0,118,0.30866295600959187
0,119,0.014263142264819255
0,120,0.7924221612667589
0,121,0.02231102774488295
0,122,0.02522930307608404
0,123,0.9318102066961166
0,124,0.4643323538620246
0,125,0.04736201375468822
0,126,0.5328487422206488
0,127,0.8412964212185728
0,128,0.13056844136146115
0,129,0.9694620571164732
0,130,0.5693805431549234
0,131,0.011642496337787267
0,132,0.8932024220397915
0,133,0.6603566203947294
0,134,0.15426255693880622
0,135,0.003075302356521024
0,136,0.5702072071193528
0,137,0.09529490922002579
0,138,0.13807264582324813
0,139,0.6606092811376922
0,140,0.03384774851982776
0,141,0.29193993133783713
0,142,0.04438270260803596
0,143,0.19614097973550307
0,144,0.7477743582212655
0,145,0.04050940875083475
0,146,0.0433457242278002
0,147,0.7204612857071042
0,148,0.11403702900823529
0,149,0.002731252277682024
0,150,3.174578907674757e-05
0,151,0.0003170385028421225
0,152,0.0002425834040630691
0,153,0.00186991552993156
0,154,0.0003170385028421225
0,155,0.0016900554164661094
0,156,0.014926313345204948
0,157,5.55504888558218e-05
0,158,0.001996402166694496
0,159,0.006820710350672497
0,160,2.0912913425398828e-05
0,161,0.002274994632463928
0,162,0.0022757340846605023
0,163,0.0015817610138332554
0,164,0.002108930604239979
0,165,4.229546750822487e-05
0,166,0.0004423843492955536
0,167,0.018180404756474804
0,168,0.00027526916551947716
0,169,0.0004518632098239089
0,170,0.000997601463520806
0,171,0.0014484420684099393
0,172,0.0004433371805494444
0,173,0.02421012842059218
0,174,0.002365118945388541
0,175,0.0015440716498004044
0,176,0.011353198855725161
0,177,0.002374019197050057
0,178,0.0004575949993018059
0,179,0.02163140604516758
0,180,0.005020871787520556
0,181,5.55504888558218e-05
0,182,0.00016907870770495206
0,183,0.02143630559944171
0,184,5.7769248160914434e-05
0,185,0.023889795617897606
0,186,0.0017254649241062849
0,187,0.0023332857417270496
0,188,0.01829232417651418
0,189,0.000147536250035403
0,190,0.006094775915555203
0,191,0.003778350920647842
0,192,0.011353198855725161
0,193,0.02365172320509942
0,194,0.00019917076220710676
0,195,0.0018001517371131735
0,196,6.057383438939396e-05
0,197,0.0023509635768271735
0,198,0.0050773877173899895
0,199,0.0050645637952086466
0,200,0.0006509548461019772
0,201,0.00012108593915523884
0,202,3.4727918904285604e-05
0,203,0.004925633652965523
0,204,0.000763142104580152
0,205,0.004925633652965523
0,206,0.0016280220369933635
0,207,0.0009887588909970495
0,208,0.002386430875004361
0,209,0.006783623924289421
0,210,3.8917598719294764e-05
0,211,0.0018916401427446071
0,212,0.008892731558680159
0,213,0.005020871787520556
0,214,0.33565915243344224
0,215,0.06289490411647711
0,216,0.5723549689837254
0,217,0.166629870370825
0,218,0.010575580077933308
0,219,0.21519516758751414
0,220,0.31350697257283416
0,221,0.40087593628239293
0,222,0.20379801521208685
0,223,0.0020125792655849026
0,224,0.2621871103728044
0,225,0.0010818567515228218
0,226,9.470709991068965e-05
0,227,0.2621871103728044
1,0,0.874723658573536
1,1,1.0
1,2,0.6553170973160963
1,3,0.35978570771751256
1,4,0.7449623488848339
1,5,0.023949610292841362
1,6,0.04436206837530187
1,7,0.9857246273303281
1,8,0.8930580798460624
1,9,0.10592067040336968
1,10,0.23252379959310973
1,11,0.9766424694187453
1,12,0.6200788588316731
1,13,0.0013391169934065916
1,14,0.23871594506658125
1,15,0.9264922307713671
1,16,0.08742328522947447
1,17,0.09896999896208478
1,18,0.05051075766802951
1,19,0.043984300745661634
1,20,0.13129158245082698
1,21,0.13114593563475202
1,22,0.02820713829479951
1,23,0.13204856678968757
1,24,0.039123671828729556
1,25,0.04091056744774897
1,26,0.019850248346864077
